x,y,z,,x,y,z,,x,y,z
-34.96709779,15.92087442,0,,-47.33225186,5.167864369,0,,-12.36515407,-10.75301005,0
-34.79533564,15.82367624,0,,-47.8432074,5.309893195,0,,-13.04787176,-10.51378305,0
-34.62125611,15.74844779,0,,-48.32330452,5.420932348,0,,-13.70204841,-10.32751544,0
-34.44992922,15.69554483,0,,-48.77396933,5.502365662,0,,-14.32404011,-10.19317917,0
-34.28141778,15.64645056,0,,-49.19692976,5.579907556,0,,-14.91551198,-10.066543,0
-34.11776727,15.60627194,0,,-49.59547938,5.645498475,0,,-15.47771211,-9.960773465,0
-33.95612453,15.58200087,0,,-49.97532423,5.689972038,0,,-16.0191997,-9.892028832,0
-33.80191234,15.57543357,0,,-50.34149945,5.720676409,0,,-16.53958711,-9.854757161,0
-33.65613973,15.56842528,0,,-50.7000515,5.742416348,0,,-17.04391177,-9.826008932,0
-33.51590809,15.56900017,0,,-51.0522302,5.738709211,0,,-17.53632211,-9.830290959,0
-33.38065802,15.55851463,0,,-51.39954967,5.756923775,0,,-18.01889165,-9.801590855,0
-33.2500462,15.53984691,0,,-51.74451561,5.771523712,0,,-18.49446941,-9.768323198,0
-33.11925575,15.49626499,0,,-52.08514207,5.798100118,0,,-18.96588632,-9.698164872,0
-32.99048902,15.42164675,0,,-52.42140905,5.849443888,0,,-19.43092003,-9.572202862,0
-32.85727388,15.33984379,0,,-52.74729079,5.894413978,0,,-19.89001691,-9.445429812,0
-32.72239396,15.23972742,0,,-53.06422723,5.946877702,0,,-20.34183327,-9.292849718,0
-32.58642232,15.15213819,0,,-53.36713077,5.993664478,0,,-20.78070845,-9.158473712,0
-32.45724144,15.05424098,0,,-53.65638461,6.034345756,0,,-21.19914317,-9.019895224,0
-32.33312774,14.96354106,0,,-53.92375204,6.059217727,0,,-21.5906243,-8.904323333,0
-32.21872014,14.86886539,0,,-54.17450918,6.066061,0,,-21.95578904,-8.80280439,0
-32.11379082,14.76883654,0,,-54.4086871,6.049189951,0,,-22.29489628,-8.719646589,0
-32.01884847,14.66662951,0,,-54.63132076,6.019994987,0,,-22.61247229,-8.646634523,0
